game,2018,17,20181230,201812300oti,clt,"Indianapolis Colts",33,oti,"Tennessee Titans",17
team,201812300oti,clt,First Downs,24,,,,,,
team,201812300oti,oti,First Downs,11,,,,,,
team,201812300oti,clt,Rush-Yds-TDs,36-158-1,,,,,,
team,201812300oti,oti,Rush-Yds-TDs,16-93-0,,,,,,
team,201812300oti,clt,Cmp-Att-Yd-TD-INT,24-35-285-3-1,,,,,,
team,201812300oti,oti,Cmp-Att-Yd-TD-INT,18-29-165-1-2,,,,,,
team,201812300oti,clt,Sacked-Yards,1-7,,,,,,
team,201812300oti,oti,Sacked-Yards,0-0,,,,,,
team,201812300oti,clt,Net Pass Yards,278,,,,,,
team,201812300oti,oti,Net Pass Yards,165,,,,,,
team,201812300oti,clt,Total Yards,436,,,,,,
team,201812300oti,oti,Total Yards,258,,,,,,
team,201812300oti,clt,Fumbles-Lost,1-1,,,,,,
team,201812300oti,oti,Fumbles-Lost,1-1,,,,,,
team,201812300oti,clt,Turnovers,2,,,,,,
team,201812300oti,oti,Turnovers,3,,,,,,
team,201812300oti,clt,Penalties-Yards,12-96,,,,,,
team,201812300oti,oti,Penalties-Yards,9-75,,,,,,
team,201812300oti,clt,Third Down Conv.,5-13,,,,,,
team,201812300oti,oti,Third Down Conv.,1-9,,,,,,
team,201812300oti,clt,Fourth Down Conv.,1-1,,,,,,
team,201812300oti,oti,Fourth Down Conv.,0-1,,,,,,
team,201812300oti,clt,Time of Possession,40:13,,,,,,
team,201812300oti,oti,Time of Possession,19:47,,,,,,
player,201812300oti,clt,LuckAn00,pass_cmp,24,,,,,
player,201812300oti,clt,LuckAn00,pass_att,35,,,,,
player,201812300oti,clt,LuckAn00,pass_yds,285,,,,,
player,201812300oti,clt,LuckAn00,pass_td,3,,,,,
player,201812300oti,clt,LuckAn00,pass_int,1,,,,,
player,201812300oti,clt,LuckAn00,pass_sacked,1,,,,,
player,201812300oti,clt,LuckAn00,pass_sacked_yds,7,,,,,
player,201812300oti,clt,LuckAn00,pass_long,43,,,,,
player,201812300oti,clt,LuckAn00,pass_rating,109.8,,,,,
player,201812300oti,clt,LuckAn00,rush_att,7,,,,,
player,201812300oti,clt,LuckAn00,rush_yds,17,,,,,
player,201812300oti,clt,LuckAn00,rush_td,0,,,,,
player,201812300oti,clt,LuckAn00,rush_long,9,,,,,
player,201812300oti,clt,LuckAn00,targets,0,,,,,
player,201812300oti,clt,LuckAn00,rec,0,,,,,
player,201812300oti,clt,LuckAn00,rec_yds,0,,,,,
player,201812300oti,clt,LuckAn00,rec_td,0,,,,,
player,201812300oti,clt,LuckAn00,rec_long,0,,,,,
player,201812300oti,clt,LuckAn00,fumbles,0,,,,,
player,201812300oti,clt,LuckAn00,fumbles_lost,0,,,,,
player,201812300oti,clt,MackMa00,pass_cmp,0,,,,,
player,201812300oti,clt,MackMa00,pass_att,0,,,,,
player,201812300oti,clt,MackMa00,pass_yds,0,,,,,
player,201812300oti,clt,MackMa00,pass_td,0,,,,,
player,201812300oti,clt,MackMa00,pass_int,0,,,,,
player,201812300oti,clt,MackMa00,pass_sacked,0,,,,,
player,201812300oti,clt,MackMa00,pass_sacked_yds,0,,,,,
player,201812300oti,clt,MackMa00,pass_long,0,,,,,
player,201812300oti,clt,MackMa00,pass_rating,,,,,,
player,201812300oti,clt,MackMa00,rush_att,25,,,,,
player,201812300oti,clt,MackMa00,rush_yds,119,,,,,
player,201812300oti,clt,MackMa00,rush_td,1,,,,,
player,201812300oti,clt,MackMa00,rush_long,21,,,,,
player,201812300oti,clt,MackMa00,targets,3,,,,,
player,201812300oti,clt,MackMa00,rec,3,,,,,
player,201812300oti,clt,MackMa00,rec_yds,-1,,,,,
player,201812300oti,clt,MackMa00,rec_td,0,,,,,
player,201812300oti,clt,MackMa00,rec_long,4,,,,,
player,201812300oti,clt,MackMa00,fumbles,1,,,,,
player,201812300oti,clt,MackMa00,fumbles_lost,1,,,,,
player,201812300oti,clt,WilkJo01,pass_cmp,0,,,,,
player,201812300oti,clt,WilkJo01,pass_att,0,,,,,
player,201812300oti,clt,WilkJo01,pass_yds,0,,,,,
player,201812300oti,clt,WilkJo01,pass_td,0,,,,,
player,201812300oti,clt,WilkJo01,pass_int,0,,,,,
player,201812300oti,clt,WilkJo01,pass_sacked,0,,,,,
player,201812300oti,clt,WilkJo01,pass_sacked_yds,0,,,,,
player,201812300oti,clt,WilkJo01,pass_long,0,,,,,
player,201812300oti,clt,WilkJo01,pass_rating,,,,,,
player,201812300oti,clt,WilkJo01,rush_att,3,,,,,
player,201812300oti,clt,WilkJo01,rush_yds,18,,,,,
player,201812300oti,clt,WilkJo01,rush_td,0,,,,,
player,201812300oti,clt,WilkJo01,rush_long,8,,,,,
player,201812300oti,clt,WilkJo01,targets,1,,,,,
player,201812300oti,clt,WilkJo01,rec,1,,,,,
player,201812300oti,clt,WilkJo01,rec_yds,5,,,,,
player,201812300oti,clt,WilkJo01,rec_td,0,,,,,
player,201812300oti,clt,WilkJo01,rec_long,5,,,,,
player,201812300oti,clt,WilkJo01,fumbles,0,,,,,
player,201812300oti,clt,WilkJo01,fumbles_lost,0,,,,,
player,201812300oti,clt,HineNy00,pass_cmp,0,,,,,
player,201812300oti,clt,HineNy00,pass_att,0,,,,,
player,201812300oti,clt,HineNy00,pass_yds,0,,,,,
player,201812300oti,clt,HineNy00,pass_td,0,,,,,
player,201812300oti,clt,HineNy00,pass_int,0,,,,,
player,201812300oti,clt,HineNy00,pass_sacked,0,,,,,
player,201812300oti,clt,HineNy00,pass_sacked_yds,0,,,,,
player,201812300oti,clt,HineNy00,pass_long,0,,,,,
player,201812300oti,clt,HineNy00,pass_rating,,,,,,
player,201812300oti,clt,HineNy00,rush_att,1,,,,,
player,201812300oti,clt,HineNy00,rush_yds,4,,,,,
player,201812300oti,clt,HineNy00,rush_td,0,,,,,
player,201812300oti,clt,HineNy00,rush_long,4,,,,,
player,201812300oti,clt,HineNy00,targets,5,,,,,
player,201812300oti,clt,HineNy00,rec,3,,,,,
player,201812300oti,clt,HineNy00,rec_yds,25,,,,,
player,201812300oti,clt,HineNy00,rec_td,0,,,,,
player,201812300oti,clt,HineNy00,rec_long,17,,,,,
player,201812300oti,clt,HineNy00,fumbles,0,,,,,
player,201812300oti,clt,HineNy00,fumbles_lost,0,,,,,
player,201812300oti,clt,InmaDo00,pass_cmp,0,,,,,
player,201812300oti,clt,InmaDo00,pass_att,0,,,,,
player,201812300oti,clt,InmaDo00,pass_yds,0,,,,,
player,201812300oti,clt,InmaDo00,pass_td,0,,,,,
player,201812300oti,clt,InmaDo00,pass_int,0,,,,,
player,201812300oti,clt,InmaDo00,pass_sacked,0,,,,,
player,201812300oti,clt,InmaDo00,pass_sacked_yds,0,,,,,
player,201812300oti,clt,InmaDo00,pass_long,0,,,,,
player,201812300oti,clt,InmaDo00,pass_rating,,,,,,
player,201812300oti,clt,InmaDo00,rush_att,0,,,,,
player,201812300oti,clt,InmaDo00,rush_yds,0,,,,,
player,201812300oti,clt,InmaDo00,rush_td,0,,,,,
player,201812300oti,clt,InmaDo00,rush_long,0,,,,,
player,201812300oti,clt,InmaDo00,targets,6,,,,,
player,201812300oti,clt,InmaDo00,rec,5,,,,,
player,201812300oti,clt,InmaDo00,rec_yds,77,,,,,
player,201812300oti,clt,InmaDo00,rec_td,1,,,,,
player,201812300oti,clt,InmaDo00,rec_long,29,,,,,
player,201812300oti,clt,InmaDo00,fumbles,0,,,,,
player,201812300oti,clt,InmaDo00,fumbles_lost,0,,,,,
player,201812300oti,clt,HiltT.00,pass_cmp,0,,,,,
player,201812300oti,clt,HiltT.00,pass_att,0,,,,,
player,201812300oti,clt,HiltT.00,pass_yds,0,,,,,
player,201812300oti,clt,HiltT.00,pass_td,0,,,,,
player,201812300oti,clt,HiltT.00,pass_int,0,,,,,
player,201812300oti,clt,HiltT.00,pass_sacked,0,,,,,
player,201812300oti,clt,HiltT.00,pass_sacked_yds,0,,,,,
player,201812300oti,clt,HiltT.00,pass_long,0,,,,,
player,201812300oti,clt,HiltT.00,pass_rating,,,,,,
