game,2018,17,20181230,201812300rav,cle,"Cleveland Browns",24,rav,"Baltimore Ravens",26
team,201812300rav,cle,First Downs,18,,,,,,
team,201812300rav,rav,First Downs,24,,,,,,
team,201812300rav,cle,Rush-Yds-TDs,14-50-0,,,,,,
team,201812300rav,rav,Rush-Yds-TDs,47-296-2,,,,,,
team,201812300rav,cle,Cmp-Att-Yd-TD-INT,23-42-376-3-3,,,,,,
team,201812300rav,rav,Cmp-Att-Yd-TD-INT,14-24-179-0-0,,,,,,
team,201812300rav,cle,Sacked-Yards,0-0,,,,,,
team,201812300rav,rav,Sacked-Yards,2-12,,,,,,
team,201812300rav,cle,Net Pass Yards,376,,,,,,
team,201812300rav,rav,Net Pass Yards,167,,,,,,
team,201812300rav,cle,Total Yards,426,,,,,,
team,201812300rav,rav,Total Yards,463,,,,,,
team,201812300rav,cle,Fumbles-Lost,0-0,,,,,,
team,201812300rav,rav,Fumbles-Lost,2-1,,,,,,
team,201812300rav,cle,Turnovers,3,,,,,,
team,201812300rav,rav,Turnovers,1,,,,,,
team,201812300rav,cle,Penalties-Yards,4-35,,,,,,
team,201812300rav,rav,Penalties-Yards,10-65,,,,,,
team,201812300rav,cle,Third Down Conv.,4-11,,,,,,
team,201812300rav,rav,Third Down Conv.,3-13,,,,,,
team,201812300rav,cle,Fourth Down Conv.,0-1,,,,,,
team,201812300rav,rav,Fourth Down Conv.,1-1,,,,,,
team,201812300rav,cle,Time of Possession,21:30,,,,,,
team,201812300rav,rav,Time of Possession,38:30,,,,,,
player,201812300rav,cle,MayfBa00,pass_cmp,23,,,,,
player,201812300rav,cle,MayfBa00,pass_att,42,,,,,
player,201812300rav,cle,MayfBa00,pass_yds,376,,,,,
player,201812300rav,cle,MayfBa00,pass_td,3,,,,,
player,201812300rav,cle,MayfBa00,pass_int,3,,,,,
player,201812300rav,cle,MayfBa00,pass_sacked,0,,,,,
player,201812300rav,cle,MayfBa00,pass_sacked_yds,0,,,,,
player,201812300rav,cle,MayfBa00,pass_long,48,,,,,
player,201812300rav,cle,MayfBa00,pass_rating,79.1,,,,,
player,201812300rav,cle,MayfBa00,rush_att,0,,,,,
