game,2018,17,20181230,201812300sea,crd,"Arizona Cardinals",24,sea,"Seattle Seahawks",27
team,201812300sea,crd,First Downs,12,,,,,,
team,201812300sea,sea,First Downs,16,,,,,,
team,201812300sea,crd,Rush-Yds-TDs,24-85-0,,,,,,
team,201812300sea,sea,Rush-Yds-TDs,34-182-2,,,,,,
team,201812300sea,crd,Cmp-Att-Yd-TD-INT,18-34-149-1-0,,,,,,
team,201812300sea,sea,Cmp-Att-Yd-TD-INT,12-21-152-1-1,,,,,,
team,201812300sea,crd,Sacked-Yards,6-36,,,,,,
team,201812300sea,sea,Sacked-Yards,6-43,,,,,,
team,201812300sea,crd,Net Pass Yards,113,,,,,,
team,201812300sea,sea,Net Pass Yards,109,,,,,,
team,201812300sea,crd,Total Yards,198,,,,,,
team,201812300sea,sea,Total Yards,291,,,,,,
team,201812300sea,crd,Fumbles-Lost,3-2,,,,,,
team,201812300sea,sea,Fumbles-Lost,0-0,,,,,,
team,201812300sea,crd,Turnovers,2,,,,,,
team,201812300sea,sea,Turnovers,1,,,,,,
team,201812300sea,crd,Penalties-Yards,3-20,,,,,,
team,201812300sea,sea,Penalties-Yards,1-10,,,,,,
team,201812300sea,crd,Third Down Conv.,4-17,,,,,,
team,201812300sea,sea,Third Down Conv.,4-14,,,,,,
team,201812300sea,crd,Fourth Down Conv.,1-2,,,,,,
team,201812300sea,sea,Fourth Down Conv.,0-0,,,,,,
team,201812300sea,crd,Time of Possession,30:51,,,,,,
team,201812300sea,sea,Time of Possession,29:09,,,,,,
player,201812300sea,crd,RoseJo01,pass_cmp,18,,,,,
player,201812300sea,crd,RoseJo01,pass_att,34,,,,,
player,201812300sea,crd,RoseJo01,pass_yds,149,,,,,
player,201812300sea,crd,RoseJo01,pass_td,1,,,,,
player,201812300sea,crd,RoseJo01,pass_int,0,,,,,
player,201812300sea,crd,RoseJo01,pass_sacked,6,,,,,
player,201812300sea,crd,RoseJo01,pass_sacked_yds,36,,,,,
player,201812300sea,crd,RoseJo01,pass_long,24,,,,,
player,201812300sea,crd,RoseJo01,pass_rating,74.3,,,,,
player,201812300sea,crd,RoseJo01,rush_att,0,,,,,
player,201812300sea,crd,RoseJo01,rush_yds,0,,,,,
player,201812300sea,crd,RoseJo01,rush_td,0,,,,,
player,201812300sea,crd,RoseJo01,rush_long,0,,,,,
player,201812300sea,crd,RoseJo01,targets,0,,,,,
player,201812300sea,crd,RoseJo01,rec,0,,,,,
player,201812300sea,crd,RoseJo01,rec_yds,0,,,,,
player,201812300sea,crd,RoseJo01,rec_td,0,,,,,
player,201812300sea,crd,RoseJo01,rec_long,0,,,,,
player,201812300sea,crd,RoseJo01,fumbles,2,,,,,
player,201812300sea,crd,RoseJo01,fumbles_lost,2,,,,,
player,201812300sea,crd,JohnDa08,pass_cmp,0,,,,,
player,201812300sea,crd,JohnDa08,pass_att,0,,,,,
player,201812300sea,crd,JohnDa08,pass_yds,0,,,,,
player,201812300sea,crd,JohnDa08,pass_td,0,,,,,
player,201812300sea,crd,JohnDa08,pass_int,0,,,,,
player,201812300sea,crd,JohnDa08,pass_sacked,0,,,,,
player,201812300sea,crd,JohnDa08,pass_sacked_yds,0,,,,,
player,201812300sea,crd,JohnDa08,pass_long,0,,,,,
player,201812300sea,crd,JohnDa08,pass_rating,,,,,,
player,201812300sea,crd,JohnDa08,rush_att,17,,,,,
player,201812300sea,crd,JohnDa08,rush_yds,62,,,,,
player,201812300sea,crd,JohnDa08,rush_td,0,,,,,
player,201812300sea,crd,JohnDa08,rush_long,15,,,,,
player,201812300sea,crd,JohnDa08,targets,4,,,,,
player,201812300sea,crd,JohnDa08,rec,3,,,,,
player,201812300sea,crd,JohnDa08,rec_yds,6,,,,,
player,201812300sea,crd,JohnDa08,rec_td,0,,,,,
player,201812300sea,crd,JohnDa08,rec_long,10,,,,,
player,201812300sea,crd,JohnDa08,fumbles,0,,,,,
player,201812300sea,crd,JohnDa08,fumbles_lost,0,,,,,
player,201812300sea,crd,EdmoCh00,pass_cmp,0,,,,,
player,201812300sea,crd,EdmoCh00,pass_att,0,,,,,
player,201812300sea,crd,EdmoCh00,pass_yds,0,,,,,
player,201812300sea,crd,EdmoCh00,pass_td,0,,,,,
player,201812300sea,crd,EdmoCh00,pass_int,0,,,,,
player,201812300sea,crd,EdmoCh00,pass_sacked,0,,,,,
player,201812300sea,crd,EdmoCh00,pass_sacked_yds,0,,,,,
player,201812300sea,crd,EdmoCh00,pass_long,0,,,,,
player,201812300sea,crd,EdmoCh00,pass_rating,,,,,,
player,201812300sea,crd,EdmoCh00,rush_att,6,,,,,
player,201812300sea,crd,EdmoCh00,rush_yds,14,,,,,
player,201812300sea,crd,EdmoCh00,rush_td,0,,,,,
player,201812300sea,crd,EdmoCh00,rush_long,4,,,,,
player,201812300sea,crd,EdmoCh00,targets,2,,,,,
player,201812300sea,crd,EdmoCh00,rec,2,,,,,
player,201812300sea,crd,EdmoCh00,rec_yds,4,,,,,
player,201812300sea,crd,EdmoCh00,rec_td,0,,,,,
player,201812300sea,crd,EdmoCh00,rec_long,8,,,,,
player,201812300sea,crd,EdmoCh00,fumbles,0,,,,,
