game,2019,2,20190915,201909150det,sdg,"Los Angeles Chargers",10,det,"Detroit Lions",13
team,201909150det,sdg,First Downs,21,,,,,,
team,201909150det,det,First Downs,19,,,,,,
team,201909150det,sdg,Rush-Yds-TDs,25-137-1,,,,,,
team,201909150det,det,Rush-Yds-TDs,28-94-0,,,,,,
team,201909150det,sdg,Cmp-Att-Yd-TD-INT,21-36-293-0-1,,,,,,
team,201909150det,det,Cmp-Att-Yd-TD-INT,22-30-245-2-2,,,,,,
team,201909150det,sdg,Sacked-Yards,1-6,,,,,,
team,201909150det,det,Sacked-Yards,0-0,,,,,,
team,201909150det,sdg,Net Pass Yards,287,,,,,,
team,201909150det,det,Net Pass Yards,245,,,,,,
team,201909150det,sdg,Total Yards,424,,,,,,
team,201909150det,det,Total Yards,339,,,,,,
team,201909150det,sdg,Fumbles-Lost,1-1,,,,,,
team,201909150det,det,Fumbles-Lost,0-0,,,,,,
team,201909150det,sdg,Turnovers,2,,,,,,
team,201909150det,det,Turnovers,2,,,,,,
team,201909150det,sdg,Penalties-Yards,9-70,,,,,,
team,201909150det,det,Penalties-Yards,8-71,,,,,,
team,201909150det,sdg,Third Down Conv.,6-13,,,,,,
team,201909150det,det,Third Down Conv.,4-10,,,,,,
team,201909150det,sdg,Fourth Down Conv.,0-0,,,,,,
team,201909150det,det,Fourth Down Conv.,1-1,,,,,,
team,201909150det,sdg,Time of Possession,31:19,,,,,,
team,201909150det,det,Time of Possession,28:41,,,,,,
player,201909150det,sdg,RivePh00,pass_cmp,21,,,,,
player,201909150det,sdg,RivePh00,pass_att,36,,,,,
player,201909150det,sdg,RivePh00,pass_yds,293,,,,,
player,201909150det,sdg,RivePh00,pass_td,0,,,,,
player,201909150det,sdg,RivePh00,pass_int,1,,,,,
player,201909150det,sdg,RivePh00,pass_sacked,1,,,,,
player,201909150det,sdg,RivePh00,pass_sacked_yds,6,,,,,
player,201909150det,sdg,RivePh00,pass_long,47,,,,,
player,201909150det,sdg,RivePh00,pass_rating,73.0,,,,,
player,201909150det,sdg,RivePh00,rush_att,1,,,,,
player,201909150det,sdg,RivePh00,rush_yds,12,,,,,
player,201909150det,sdg,RivePh00,rush_td,0,,,,,
player,201909150det,sdg,RivePh00,rush_long,12,,,,,
player,201909150det,sdg,RivePh00,targets,0,,,,,
player,201909150det,sdg,RivePh00,rec,0,,,,,
player,201909150det,sdg,RivePh00,rec_yds,0,,,,,
player,201909150det,sdg,RivePh00,rec_td,0,,,,,
player,201909150det,sdg,RivePh00,rec_long,0,,,,,
player,201909150det,sdg,RivePh00,fumbles,0,,,,,
player,201909150det,sdg,RivePh00,fumbles_lost,0,,,,,
player,201909150det,sdg,EkelAu00,pass_cmp,0,,,,,
player,201909150det,sdg,EkelAu00,pass_att,0,,,,,
player,201909150det,sdg,EkelAu00,pass_yds,0,,,,,
player,201909150det,sdg,EkelAu00,pass_td,0,,,,,
player,201909150det,sdg,EkelAu00,pass_int,0,,,,,
player,201909150det,sdg,EkelAu00,pass_sacked,0,,,,,
player,201909150det,sdg,EkelAu00,pass_sacked_yds,0,,,,,
player,201909150det,sdg,EkelAu00,pass_long,0,,,,,
player,201909150det,sdg,EkelAu00,pass_rating,,,,,,
player,201909150det,sdg,EkelAu00,rush_att,17,,,,,
player,201909150det,sdg,EkelAu00,rush_yds,66,,,,,
player,201909150det,sdg,EkelAu00,rush_td,1,,,,,
player,201909150det,sdg,EkelAu00,rush_long,12,,,,,
player,201909150det,sdg,EkelAu00,targets,6,,,,,
player,201909150det,sdg,EkelAu00,rec,6,,,,,
player,201909150det,sdg,EkelAu00,rec_yds,67,,,,,
player,201909150det,sdg,EkelAu00,rec_td,0,,,,,
player,201909150det,sdg,EkelAu00,rec_long,35,,,,,
player,201909150det,sdg,EkelAu00,fumbles,1,,,,,
player,201909150det,sdg,EkelAu00,fumbles_lost,1,,,,,
player,201909150det,sdg,JackJu01,pass_cmp,0,,,,,
player,201909150det,sdg,JackJu01,pass_att,0,,,,,
player,201909150det,sdg,JackJu01,pass_yds,0,,,,,
player,201909150det,sdg,JackJu01,pass_td,0,,,,,
player,201909150det,sdg,JackJu01,pass_int,0,,,,,
player,201909150det,sdg,JackJu01,pass_sacked,0,,,,,
player,201909150det,sdg,JackJu01,pass_sacked_yds,0,,,,,
player,201909150det,sdg,JackJu01,pass_long,0,,,,,
player,201909150det,sdg,JackJu01,pass_rating,,,,,,
player,201909150det,sdg,JackJu01,rush_att,7,,,,,
player,201909150det,sdg,JackJu01,rush_yds,59,,,,,
player,201909150det,sdg,JackJu01,rush_td,0,,,,,
player,201909150det,sdg,JackJu01,rush_long,40,,,,,
player,201909150det,sdg,JackJu01,targets,1,,,,,
player,201909150det,sdg,JackJu01,rec,1,,,,,
player,201909150det,sdg,JackJu01,rec_yds,5,,,,,
player,201909150det,sdg,JackJu01,rec_td,0,,,,,
player,201909150det,sdg,JackJu01,rec_long,5,,,,,
player,201909150det,sdg,JackJu01,fumbles,0,,,,,
player,201909150det,sdg,JackJu01,fumbles_lost,0,,,,,
player,201909150det,sdg,AlleKe00,pass_cmp,0,,,,,
player,201909150det,sdg,AlleKe00,pass_att,0,,,,,
player,201909150det,sdg,AlleKe00,pass_yds,0,,,,,
player,201909150det,sdg,AlleKe00,pass_td,0,,,,,
player,201909150det,sdg,AlleKe00,pass_int,0,,,,,
player,201909150det,sdg,AlleKe00,pass_sacked,0,,,,,
player,201909150det,sdg,AlleKe00,pass_sacked_yds,0,,,,,
player,201909150det,sdg,AlleKe00,pass_long,0,,,,,
player,201909150det,sdg,AlleKe00,pass_rating,,,,,,
player,201909150det,sdg,AlleKe00,rush_att,0,,,,,
player,201909150det,sdg,AlleKe00,rush_yds,0,,,,,
player,201909150det,sdg,AlleKe00,rush_td,0,,,,,
player,201909150det,sdg,AlleKe00,rush_long,0,,,,,
player,201909150det,sdg,AlleKe00,targets,15,,,,,
player,201909150det,sdg,AlleKe00,rec,8,,,,,
player,201909150det,sdg,AlleKe00,rec_yds,98,,,,,
player,201909150det,sdg,AlleKe00,rec_td,0,,,,,
player,201909150det,sdg,AlleKe00,rec_long,23,,,,,
player,201909150det,sdg,AlleKe00,fumbles,0,,,,,
player,201909150det,sdg,AlleKe00,fumbles_lost,0,,,,,
player,201909150det,sdg,WillMi07,pass_cmp,0,,,,,
player,201909150det,sdg,WillMi07,pass_att,0,,,,,
player,201909150det,sdg,WillMi07,pass_yds,0,,,,,
player,201909150det,sdg,WillMi07,pass_td,0,,,,,
player,201909150det,sdg,WillMi07,pass_int,0,,,,,
player,201909150det,sdg,WillMi07,pass_sacked,0,,,,,
player,201909150det,sdg,WillMi07,pass_sacked_yds,0,,,,,
player,201909150det,sdg,WillMi07,pass_long,0,,,,,
player,201909150det,sdg,WillMi07,pass_rating,,,,,,
player,201909150det,sdg,WillMi07,rush_att,0,,,,,
player,201909150det,sdg,WillMi07,rush_yds,0,,,,,
player,201909150det,sdg,WillMi07,rush_td,0,,,,,
player,201909150det,sdg,WillMi07,rush_long,0,,,,,
player,201909150det,sdg,WillMi07,targets,5,,,,,
player,201909150det,sdg,WillMi07,rec,3,,,,,
player,201909150det,sdg,WillMi07,rec_yds,83,,,,,
player,201909150det,sdg,WillMi07,rec_td,0,,,,,
player,201909150det,sdg,WillMi07,rec_long,47,,,,,
player,201909150det,sdg,WillMi07,fumbles,0,,,,,
player,201909150det,sdg,WillMi07,fumbles_lost,0,,,,,
player,201909150det,sdg,InmaDo00,pass_cmp,0,,,,,
player,201909150det,sdg,InmaDo00,pass_att,0,,,,,
player,201909150det,sdg,InmaDo00,pass_yds,0,,,,,
player,201909150det,sdg,InmaDo00,pass_td,0,,,,,
player,201909150det,sdg,InmaDo00,pass_int,0,,,,,
player,201909150det,sdg,InmaDo00,pass_sacked,0,,,,,
