game,2019,3,20190922,201909220kan,rav,"Baltimore Ravens",28,kan,"Kansas City Chiefs",33
team,201909220kan,rav,First Downs,29,,,,,,
team,201909220kan,kan,First Downs,27,,,,,,
team,201909220kan,rav,Rush-Yds-TDs,32-203-4,,,,,,
team,201909220kan,kan,Rush-Yds-TDs,25-140-1,,,,,,
team,201909220kan,rav,Cmp-Att-Yd-TD-INT,22-43-267-0-0,,,,,,
team,201909220kan,kan,Cmp-Att-Yd-TD-INT,27-37-374-3-0,,,,,,
team,201909220kan,rav,Sacked-Yards,3-18,,,,,,
team,201909220kan,kan,Sacked-Yards,1-11,,,,,,
team,201909220kan,rav,Net Pass Yards,249,,,,,,
team,201909220kan,kan,Net Pass Yards,363,,,,,,
team,201909220kan,rav,Total Yards,452,,,,,,
team,201909220kan,kan,Total Yards,503,,,,,,
team,201909220kan,rav,Fumbles-Lost,0-0,,,,,,
team,201909220kan,kan,Fumbles-Lost,3-0,,,,,,
team,201909220kan,rav,Turnovers,0,,,,,,
team,201909220kan,kan,Turnovers,0,,,,,,
team,201909220kan,rav,Penalties-Yards,7-60,,,,,,
team,201909220kan,kan,Penalties-Yards,4-31,,,,,,
team,201909220kan,rav,Third Down Conv.,5-13,,,,,,
team,201909220kan,kan,Third Down Conv.,5-9,,,,,,
team,201909220kan,rav,Fourth Down Conv.,3-4,,,,,,
team,201909220kan,kan,Fourth Down Conv.,0-1,,,,,,
team,201909220kan,rav,Time of Possession,32:44,,,,,,
team,201909220kan,kan,Time of Possession,27:16,,,,,,
player,201909220kan,rav,JackLa00,pass_cmp,22,,,,,
player,201909220kan,rav,JackLa00,pass_att,43,,,,,
player,201909220kan,rav,JackLa00,pass_yds,267,,,,,
player,201909220kan,rav,JackLa00,pass_td,0,,,,,
player,201909220kan,rav,JackLa00,pass_int,0,,,,,
player,201909220kan,rav,JackLa00,pass_sacked,3,,,,,
player,201909220kan,rav,JackLa00,pass_sacked_yds,18,,,,,
player,201909220kan,rav,JackLa00,pass_long,31,,,,,
player,201909220kan,rav,JackLa00,pass_rating,70.6,,,,,
player,201909220kan,rav,JackLa00,rush_att,8,,,,,
player,201909220kan,rav,JackLa00,rush_yds,46,,,,,
player,201909220kan,rav,JackLa00,rush_td,1,,,,,
player,201909220kan,rav,JackLa00,rush_long,9,,,,,
player,201909220kan,rav,JackLa00,targets,0,,,,,
player,201909220kan,rav,JackLa00,rec,0,,,,,
player,201909220kan,rav,JackLa00,rec_yds,0,,,,,
player,201909220kan,rav,JackLa00,rec_td,0,,,,,
player,201909220kan,rav,JackLa00,rec_long,0,,,,,
player,201909220kan,rav,JackLa00,fumbles,0,,,,,
player,201909220kan,rav,JackLa00,fumbles_lost,0,,,,,
player,201909220kan,rav,IngrMa01,pass_cmp,0,,,,,
player,201909220kan,rav,IngrMa01,pass_att,0,,,,,
player,201909220kan,rav,IngrMa01,pass_yds,0,,,,,
player,201909220kan,rav,IngrMa01,pass_td,0,,,,,
player,201909220kan,rav,IngrMa01,pass_int,0,,,,,
player,201909220kan,rav,IngrMa01,pass_sacked,0,,,,,
player,201909220kan,rav,IngrMa01,pass_sacked_yds,0,,,,,
player,201909220kan,rav,IngrMa01,pass_long,0,,,,,
player,201909220kan,rav,IngrMa01,pass_rating,,,,,,
player,201909220kan,rav,IngrMa01,rush_att,16,,,,,
player,201909220kan,rav,IngrMa01,rush_yds,103,,,,,
player,201909220kan,rav,IngrMa01,rush_td,3,,,,,
player,201909220kan,rav,IngrMa01,rush_long,21,,,,,
player,201909220kan,rav,IngrMa01,targets,4,,,,,
player,201909220kan,rav,IngrMa01,rec,4,,,,,
player,201909220kan,rav,IngrMa01,rec_yds,32,,,,,
player,201909220kan,rav,IngrMa01,rec_td,0,,,,,
player,201909220kan,rav,IngrMa01,rec_long,13,,,,,
player,201909220kan,rav,IngrMa01,fumbles,0,,,,,
player,201909220kan,rav,IngrMa01,fumbles_lost,0,,,,,
player,201909220kan,rav,EdwaGu00,pass_cmp,0,,,,,
player,201909220kan,rav,EdwaGu00,pass_att,0,,,,,
player,201909220kan,rav,EdwaGu00,pass_yds,0,,,,,
player,201909220kan,rav,EdwaGu00,pass_td,0,,,,,
player,201909220kan,rav,EdwaGu00,pass_int,0,,,,,
player,201909220kan,rav,EdwaGu00,pass_sacked,0,,,,,
player,201909220kan,rav,EdwaGu00,pass_sacked_yds,0,,,,,
