game,2019,5,20191006,201910060nor,tam,"Tampa Bay Buccaneers",24,nor,"New Orleans Saints",31
team,201910060nor,tam,First Downs,19,,,,,,
team,201910060nor,nor,First Downs,25,,,,,,
team,201910060nor,tam,Rush-Yds-TDs,22-94-1,,,,,,
team,201910060nor,nor,Rush-Yds-TDs,31-112-0,,,,,,
team,201910060nor,tam,Cmp-Att-Yd-TD-INT,15-27-204-2-0,,,,,,
team,201910060nor,nor,Cmp-Att-Yd-TD-INT,28-36-345-4-1,,,,,,
team,201910060nor,tam,Sacked-Yards,6-46,,,,,,
team,201910060nor,nor,Sacked-Yards,0-0,,,,,,
team,201910060nor,tam,Net Pass Yards,158,,,,,,
team,201910060nor,nor,Net Pass Yards,345,,,,,,
team,201910060nor,tam,Total Yards,252,,,,,,
team,201910060nor,nor,Total Yards,457,,,,,,
team,201910060nor,tam,Fumbles-Lost,1-0,,,,,,
team,201910060nor,nor,Fumbles-Lost,1-0,,,,,,
team,201910060nor,tam,Turnovers,0,,,,,,
team,201910060nor,nor,Turnovers,1,,,,,,
team,201910060nor,tam,Penalties-Yards,4-30,,,,,,
team,201910060nor,nor,Penalties-Yards,6-40,,,,,,
team,201910060nor,tam,Third Down Conv.,3-11,,,,,,
team,201910060nor,nor,Third Down Conv.,8-15,,,,,,
team,201910060nor,tam,Fourth Down Conv.,1-1,,,,,,
team,201910060nor,nor,Fourth Down Conv.,1-2,,,,,,
team,201910060nor,tam,Time of Possession,26:33,,,,,,
team,201910060nor,nor,Time of Possession,33:27,,,,,,
player,201910060nor,tam,WinsJa00,pass_cmp,15,,,,,
player,201910060nor,tam,WinsJa00,pass_att,27,,,,,
player,201910060nor,tam,WinsJa00,pass_yds,204,,,,,
player,201910060nor,tam,WinsJa00,pass_td,2,,,,,
player,201910060nor,tam,WinsJa00,pass_int,0,,,,,
player,201910060nor,tam,WinsJa00,pass_sacked,6,,,,,
player,201910060nor,tam,WinsJa00,pass_sacked_yds,46,,,,,
player,201910060nor,tam,WinsJa00,pass_long,26,,,,,
player,201910060nor,tam,WinsJa00,pass_rating,104.6,,,,,
player,201910060nor,tam,WinsJa00,rush_att,3,,,,,
player,201910060nor,tam,WinsJa00,rush_yds,13,,,,,
player,201910060nor,tam,WinsJa00,rush_td,0,,,,,
player,201910060nor,tam,WinsJa00,rush_long,5,,,,,
player,201910060nor,tam,WinsJa00,targets,0,,,,,
player,201910060nor,tam,WinsJa00,rec,0,,,,,
player,201910060nor,tam,WinsJa00,rec_yds,0,,,,,
player,201910060nor,tam,WinsJa00,rec_td,0,,,,,
player,201910060nor,tam,WinsJa00,rec_long,0,,,,,
player,201910060nor,tam,WinsJa00,fumbles,1,,,,,
player,201910060nor,tam,WinsJa00,fumbles_lost,0,,,,,
player,201910060nor,tam,JoneRo01,pass_cmp,0,,,,,
player,201910060nor,tam,JoneRo01,pass_att,0,,,,,
player,201910060nor,tam,JoneRo01,pass_yds,0,,,,,
player,201910060nor,tam,JoneRo01,pass_td,0,,,,,
player,201910060nor,tam,JoneRo01,pass_int,0,,,,,
player,201910060nor,tam,JoneRo01,pass_sacked,0,,,,,
player,201910060nor,tam,JoneRo01,pass_sacked_yds,0,,,,,
player,201910060nor,tam,JoneRo01,pass_long,0,,,,,
player,201910060nor,tam,JoneRo01,pass_rating,,,,,,
player,201910060nor,tam,JoneRo01,rush_att,9,,,,,
player,201910060nor,tam,JoneRo01,rush_yds,35,,,,,
player,201910060nor,tam,JoneRo01,rush_td,0,,,,,
player,201910060nor,tam,JoneRo01,rush_long,14,,,,,
player,201910060nor,tam,JoneRo01,targets,3,,,,,
player,201910060nor,tam,JoneRo01,rec,2,,,,,
player,201910060nor,tam,JoneRo01,rec_yds,21,,,,,
player,201910060nor,tam,JoneRo01,rec_td,0,,,,,
player,201910060nor,tam,JoneRo01,rec_long,11,,,,,
