game,2019,5,20191006,201910060nyg,min,"Minnesota Vikings",28,nyg,"New York Giants",10
team,201910060nyg,min,First Downs,22,,,,,,
team,201910060nyg,nyg,First Downs,18,,,,,,
team,201910060nyg,min,Rush-Yds-TDs,34-211-0,,,,,,
team,201910060nyg,nyg,Rush-Yds-TDs,20-64-0,,,,,,
team,201910060nyg,min,Cmp-Att-Yd-TD-INT,22-27-306-2-0,,,,,,
team,201910060nyg,nyg,Cmp-Att-Yd-TD-INT,21-38-182-1-1,,,,,,
team,201910060nyg,min,Sacked-Yards,3-27,,,,,,
team,201910060nyg,nyg,Sacked-Yards,4-35,,,,,,
team,201910060nyg,min,Net Pass Yards,279,,,,,,
team,201910060nyg,nyg,Net Pass Yards,147,,,,,,
team,201910060nyg,min,Total Yards,490,,,,,,
team,201910060nyg,nyg,Total Yards,211,,,,,,
team,201910060nyg,min,Fumbles-Lost,3-1,,,,,,
team,201910060nyg,nyg,Fumbles-Lost,0-0,,,,,,
team,201910060nyg,min,Turnovers,1,,,,,,
team,201910060nyg,nyg,Turnovers,1,,,,,,
team,201910060nyg,min,Penalties-Yards,12-112,,,,,,
team,201910060nyg,nyg,Penalties-Yards,5-45,,,,,,
team,201910060nyg,min,Third Down Conv.,5-11,,,,,,
team,201910060nyg,nyg,Third Down Conv.,8-16,,,,,,
team,201910060nyg,min,Fourth Down Conv.,1-1,,,,,,
team,201910060nyg,nyg,Fourth Down Conv.,0-3,,,,,,
team,201910060nyg,min,Time of Possession,32:40,,,,,,
team,201910060nyg,nyg,Time of Possession,27:20,,,,,,
player,201910060nyg,min,CousKi00,pass_cmp,22,,,,,
player,201910060nyg,min,CousKi00,pass_att,27,,,,,
player,201910060nyg,min,CousKi00,pass_yds,306,,,,,
player,201910060nyg,min,CousKi00,pass_td,2,,,,,
player,201910060nyg,min,CousKi00,pass_int,0,,,,,
player,201910060nyg,min,CousKi00,pass_sacked,3,,,,,
player,201910060nyg,min,CousKi00,pass_sacked_yds,27,,,,,
player,201910060nyg,min,CousKi00,pass_long,44,,,,,
player,201910060nyg,min,CousKi00,pass_rating,138.6,,,,,
player,201910060nyg,min,CousKi00,rush_att,3,,,,,
player,201910060nyg,min,CousKi00,rush_yds,3,,,,,
player,201910060nyg,min,CousKi00,rush_td,0,,,,,
player,201910060nyg,min,CousKi00,rush_long,4,,,,,
player,201910060nyg,min,CousKi00,targets,0,,,,,
player,201910060nyg,min,CousKi00,rec,0,,,,,
player,201910060nyg,min,CousKi00,rec_yds,0,,,,,
player,201910060nyg,min,CousKi00,rec_td,0,,,,,
player,201910060nyg,min,CousKi00,rec_long,0,,,,,
player,201910060nyg,min,CousKi00,fumbles,1,,,,,
player,201910060nyg,min,CousKi00,fumbles_lost,0,,,,,
player,201910060nyg,min,CookDa01,pass_cmp,0,,,,,
player,201910060nyg,min,CookDa01,pass_att,0,,,,,
player,201910060nyg,min,CookDa01,pass_yds,0,,,,,
player,201910060nyg,min,CookDa01,pass_td,0,,,,,
player,201910060nyg,min,CookDa01,pass_int,0,,,,,
player,201910060nyg,min,CookDa01,pass_sacked,0,,,,,
player,201910060nyg,min,CookDa01,pass_sacked_yds,0,,,,,
player,201910060nyg,min,CookDa01,pass_long,0,,,,,
player,201910060nyg,min,CookDa01,pass_rating,,,,,,
player,201910060nyg,min,CookDa01,rush_att,21,,,,,
player,201910060nyg,min,CookDa01,rush_yds,132,,,,,
player,201910060nyg,min,CookDa01,rush_td,0,,,,,
player,201910060nyg,min,CookDa01,rush_long,41,,,,,
player,201910060nyg,min,CookDa01,targets,6,,,,,
player,201910060nyg,min,CookDa01,rec,6,,,,,
player,201910060nyg,min,CookDa01,rec_yds,86,,,,,
player,201910060nyg,min,CookDa01,rec_td,0,,,,,
player,201910060nyg,min,CookDa01,rec_long,24,,,,,
player,201910060nyg,min,CookDa01,fumbles,2,,,,,
player,201910060nyg,min,CookDa01,fumbles_lost,1,,,,,
player,201910060nyg,min,MattAl01,pass_cmp,0,,,,,
player,201910060nyg,min,MattAl01,pass_att,0,,,,,
player,201910060nyg,min,MattAl01,pass_yds,0,,,,,
player,201910060nyg,min,MattAl01,pass_td,0,,,,,
player,201910060nyg,min,MattAl01,pass_int,0,,,,,
player,201910060nyg,min,MattAl01,pass_sacked,0,,,,,
player,201910060nyg,min,MattAl01,pass_sacked_yds,0,,,,,
player,201910060nyg,min,MattAl01,pass_long,0,,,,,
player,201910060nyg,min,MattAl01,pass_rating,,,,,,
player,201910060nyg,min,MattAl01,rush_att,7,,,,,
player,201910060nyg,min,MattAl01,rush_yds,52,,,,,
player,201910060nyg,min,MattAl01,rush_td,0,,,,,
player,201910060nyg,min,MattAl01,rush_long,19,,,,,
player,201910060nyg,min,MattAl01,targets,0,,,,,
player,201910060nyg,min,MattAl01,rec,0,,,,,
player,201910060nyg,min,MattAl01,rec_yds,0,,,,,
player,201910060nyg,min,MattAl01,rec_td,0,,,,,
player,201910060nyg,min,MattAl01,rec_long,0,,,,,
player,201910060nyg,min,MattAl01,fumbles,0,,,,,
player,201910060nyg,min,MattAl01,fumbles_lost,0,,,,,
player,201910060nyg,min,AbduAm00,pass_cmp,0,,,,,
player,201910060nyg,min,AbduAm00,pass_att,0,,,,,
player,201910060nyg,min,AbduAm00,pass_yds,0,,,,,
player,201910060nyg,min,AbduAm00,pass_td,0,,,,,
player,201910060nyg,min,AbduAm00,pass_int,0,,,,,
player,201910060nyg,min,AbduAm00,pass_sacked,0,,,,,
player,201910060nyg,min,AbduAm00,pass_sacked_yds,0,,,,,
player,201910060nyg,min,AbduAm00,pass_long,0,,,,,
player,201910060nyg,min,AbduAm00,pass_rating,,,,,,
player,201910060nyg,min,AbduAm00,rush_att,3,,,,,
player,201910060nyg,min,AbduAm00,rush_yds,24,,,,,
player,201910060nyg,min,AbduAm00,rush_td,0,,,,,
player,201910060nyg,min,AbduAm00,rush_long,15,,,,,
player,201910060nyg,min,AbduAm00,targets,0,,,,,
player,201910060nyg,min,AbduAm00,rec,0,,,,,
player,201910060nyg,min,AbduAm00,rec_yds,0,,,,,
player,201910060nyg,min,AbduAm00,rec_td,0,,,,,
player,201910060nyg,min,AbduAm00,rec_long,0,,,,,
player,201910060nyg,min,AbduAm00,fumbles,0,,,,,
player,201910060nyg,min,AbduAm00,fumbles_lost,0,,,,,
player,201910060nyg,min,ThieAd00,pass_cmp,0,,,,,
player,201910060nyg,min,ThieAd00,pass_att,0,,,,,
player,201910060nyg,min,ThieAd00,pass_yds,0,,,,,
player,201910060nyg,min,ThieAd00,pass_td,0,,,,,
player,201910060nyg,min,ThieAd00,pass_int,0,,,,,
player,201910060nyg,min,ThieAd00,pass_sacked,0,,,,,
player,201910060nyg,min,ThieAd00,pass_sacked_yds,0,,,,,
player,201910060nyg,min,ThieAd00,pass_long,0,,,,,
player,201910060nyg,min,ThieAd00,pass_rating,,,,,,
player,201910060nyg,min,ThieAd00,rush_att,0,,,,,
