game,2019,7,20191020,201910200was,sfo,"San Francisco 49ers",9,was,"Washington Redskins",0
team,201910200was,sfo,First Downs,17,,,,,,
team,201910200was,was,First Downs,10,,,,,,
team,201910200was,sfo,Rush-Yds-TDs,39-137-0,,,,,,
team,201910200was,was,Rush-Yds-TDs,26-104-0,,,,,,
team,201910200was,sfo,Cmp-Att-Yd-TD-INT,12-21-151-0-1,,,,,,
team,201910200was,was,Cmp-Att-Yd-TD-INT,9-12-77-0-0,,,,,,
team,201910200was,sfo,Sacked-Yards,2-5,,,,,,
team,201910200was,was,Sacked-Yards,3-27,,,,,,
team,201910200was,sfo,Net Pass Yards,146,,,,,,
team,201910200was,was,Net Pass Yards,50,,,,,,
team,201910200was,sfo,Total Yards,283,,,,,,
team,201910200was,was,Total Yards,154,,,,,,
team,201910200was,sfo,Fumbles-Lost,1-0,,,,,,
team,201910200was,was,Fumbles-Lost,1-1,,,,,,
team,201910200was,sfo,Turnovers,1,,,,,,
team,201910200was,was,Turnovers,1,,,,,,
team,201910200was,sfo,Penalties-Yards,2-20,,,,,,
team,201910200was,was,Penalties-Yards,7-47,,,,,,
team,201910200was,sfo,Third Down Conv.,7-16,,,,,,
team,201910200was,was,Third Down Conv.,3-9,,,,,,
team,201910200was,sfo,Fourth Down Conv.,1-2,,,,,,
team,201910200was,was,Fourth Down Conv.,0-1,,,,,,
team,201910200was,sfo,Time of Possession,33:24,,,,,,
team,201910200was,was,Time of Possession,26:36,,,,,,
player,201910200was,sfo,GaroJi00,pass_cmp,12,,,,,
player,201910200was,sfo,GaroJi00,pass_att,21,,,,,
player,201910200was,sfo,GaroJi00,pass_yds,151,,,,,
player,201910200was,sfo,GaroJi00,pass_td,0,,,,,
player,201910200was,sfo,GaroJi00,pass_int,1,,,,,
player,201910200was,sfo,GaroJi00,pass_sacked,2,,,,,
player,201910200was,sfo,GaroJi00,pass_sacked_yds,5,,,,,
player,201910200was,sfo,GaroJi00,pass_long,40,,,,,
player,201910200was,sfo,GaroJi00,pass_rating,59.8,,,,,
player,201910200was,sfo,GaroJi00,rush_att,4,,,,,
player,201910200was,sfo,GaroJi00,rush_yds,20,,,,,
player,201910200was,sfo,GaroJi00,rush_td,0,,,,,
player,201910200was,sfo,GaroJi00,rush_long,11,,,,,
player,201910200was,sfo,GaroJi00,targets,0,,,,,
player,201910200was,sfo,GaroJi00,rec,0,,,,,
player,201910200was,sfo,GaroJi00,rec_yds,0,,,,,
player,201910200was,sfo,GaroJi00,rec_td,0,,,,,
player,201910200was,sfo,GaroJi00,rec_long,0,,,,,
player,201910200was,sfo,GaroJi00,fumbles,1,,,,,
player,201910200was,sfo,GaroJi00,fumbles_lost,0,,,,,
player,201910200was,sfo,ColeTe01,pass_cmp,0,,,,,
player,201910200was,sfo,ColeTe01,pass_att,0,,,,,
player,201910200was,sfo,ColeTe01,pass_yds,0,,,,,
player,201910200was,sfo,ColeTe01,pass_td,0,,,,,
player,201910200was,sfo,ColeTe01,pass_int,0,,,,,
player,201910200was,sfo,ColeTe01,pass_sacked,0,,,,,
player,201910200was,sfo,ColeTe01,pass_sacked_yds,0,,,,,
player,201910200was,sfo,ColeTe01,pass_long,0,,,,,
player,201910200was,sfo,ColeTe01,pass_rating,,,,,,
player,201910200was,sfo,ColeTe01,rush_att,20,,,,,
player,201910200was,sfo,ColeTe01,rush_yds,62,,,,,
player,201910200was,sfo,ColeTe01,rush_td,0,,,,,
player,201910200was,sfo,ColeTe01,rush_long,9,,,,,
player,201910200was,sfo,ColeTe01,targets,2,,,,,
player,201910200was,sfo,ColeTe01,rec,2,,,,,
player,201910200was,sfo,ColeTe01,rec_yds,-1,,,,,
player,201910200was,sfo,ColeTe01,rec_td,0,,,,,
player,201910200was,sfo,ColeTe01,rec_long,0,,,,,
player,201910200was,sfo,ColeTe01,fumbles,0,,,,,
player,201910200was,sfo,ColeTe01,fumbles_lost,0,,,,,
player,201910200was,sfo,BreiMa00,pass_cmp,0,,,,,
player,201910200was,sfo,BreiMa00,pass_att,0,,,,,
player,201910200was,sfo,BreiMa00,pass_yds,0,,,,,
player,201910200was,sfo,BreiMa00,pass_td,0,,,,,
player,201910200was,sfo,BreiMa00,pass_int,0,,,,,
player,201910200was,sfo,BreiMa00,pass_sacked,0,,,,,
player,201910200was,sfo,BreiMa00,pass_sacked_yds,0,,,,,
player,201910200was,sfo,BreiMa00,pass_long,0,,,,,
player,201910200was,sfo,BreiMa00,pass_rating,,,,,,
player,201910200was,sfo,BreiMa00,rush_att,8,,,,,
player,201910200was,sfo,BreiMa00,rush_yds,35,,,,,
player,201910200was,sfo,BreiMa00,rush_td,0,,,,,
player,201910200was,sfo,BreiMa00,rush_long,11,,,,,
player,201910200was,sfo,BreiMa00,targets,1,,,,,
player,201910200was,sfo,BreiMa00,rec,1,,,,,
player,201910200was,sfo,BreiMa00,rec_yds,1,,,,,
player,201910200was,sfo,BreiMa00,rec_td,0,,,,,
player,201910200was,sfo,BreiMa00,rec_long,1,,,,,
player,201910200was,sfo,BreiMa00,fumbles,0,,,,,
player,201910200was,sfo,BreiMa00,fumbles_lost,0,,,,,
player,201910200was,sfo,WilsJe01,pass_cmp,0,,,,,
player,201910200was,sfo,WilsJe01,pass_att,0,,,,,
player,201910200was,sfo,WilsJe01,pass_yds,0,,,,,
player,201910200was,sfo,WilsJe01,pass_td,0,,,,,
player,201910200was,sfo,WilsJe01,pass_int,0,,,,,
player,201910200was,sfo,WilsJe01,pass_sacked,0,,,,,
player,201910200was,sfo,WilsJe01,pass_sacked_yds,0,,,,,
player,201910200was,sfo,WilsJe01,pass_long,0,,,,,
player,201910200was,sfo,WilsJe01,pass_rating,,,,,,
player,201910200was,sfo,WilsJe01,rush_att,5,,,,,
player,201910200was,sfo,WilsJe01,rush_yds,20,,,,,
player,201910200was,sfo,WilsJe01,rush_td,0,,,,,
player,201910200was,sfo,WilsJe01,rush_long,6,,,,,
player,201910200was,sfo,WilsJe01,targets,0,,,,,
player,201910200was,sfo,WilsJe01,rec,0,,,,,
player,201910200was,sfo,WilsJe01,rec_yds,0,,,,,
player,201910200was,sfo,WilsJe01,rec_td,0,,,,,
player,201910200was,sfo,WilsJe01,rec_long,0,,,,,
player,201910200was,sfo,WilsJe01,fumbles,0,,,,,
player,201910200was,sfo,WilsJe01,fumbles_lost,0,,,,,
player,201910200was,sfo,BourKe00,pass_cmp,0,,,,,
player,201910200was,sfo,BourKe00,pass_att,0,,,,,
player,201910200was,sfo,BourKe00,pass_yds,0,,,,,
player,201910200was,sfo,BourKe00,pass_td,0,,,,,
player,201910200was,sfo,BourKe00,pass_int,0,,,,,
player,201910200was,sfo,BourKe00,pass_sacked,0,,,,,
player,201910200was,sfo,BourKe00,pass_sacked_yds,0,,,,,
player,201910200was,sfo,BourKe00,pass_long,0,,,,,
player,201910200was,sfo,BourKe00,pass_rating,,,,,,
player,201910200was,sfo,BourKe00,rush_att,0,,,,,
player,201910200was,sfo,BourKe00,rush_yds,0,,,,,
player,201910200was,sfo,BourKe00,rush_td,0,,,,,
player,201910200was,sfo,BourKe00,rush_long,0,,,,,
player,201910200was,sfo,BourKe00,targets,4,,,,,
player,201910200was,sfo,BourKe00,rec,3,,,,,
player,201910200was,sfo,BourKe00,rec_yds,69,,,,,
player,201910200was,sfo,BourKe00,rec_td,0,,,,,
player,201910200was,sfo,BourKe00,rec_long,28,,,,,
player,201910200was,sfo,BourKe00,fumbles,0,,,,,
player,201910200was,sfo,BourKe00,fumbles_lost,0,,,,,
player,201910200was,sfo,JameRi00,pass_cmp,0,,,,,
player,201910200was,sfo,JameRi00,pass_att,0,,,,,
player,201910200was,sfo,JameRi00,pass_yds,0,,,,,
player,201910200was,sfo,JameRi00,pass_td,0,,,,,
player,201910200was,sfo,JameRi00,pass_int,0,,,,,
player,201910200was,sfo,JameRi00,pass_sacked,0,,,,,
player,201910200was,sfo,JameRi00,pass_sacked_yds,0,,,,,
player,201910200was,sfo,JameRi00,pass_long,0,,,,,
player,201910200was,sfo,JameRi00,pass_rating,,,,,,
player,201910200was,sfo,JameRi00,rush_att,0,,,,,
player,201910200was,sfo,JameRi00,rush_yds,0,,,,,
player,201910200was,sfo,JameRi00,rush_td,0,,,,,
player,201910200was,sfo,JameRi00,rush_long,0,,,,,
player,201910200was,sfo,JameRi00,targets,1,,,,,
player,201910200was,sfo,JameRi00,rec,1,,,,,
player,201910200was,sfo,JameRi00,rec_yds,40,,,,,
player,201910200was,sfo,JameRi00,rec_td,0,,,,,
player,201910200was,sfo,JameRi00,rec_long,40,,,,,
player,201910200was,sfo,JameRi00,fumbles,0,,,,,
player,201910200was,sfo,JameRi00,fumbles_lost,0,,,,,
player,201910200was,sfo,KittGe00,pass_cmp,0,,,,,
player,201910200was,sfo,KittGe00,pass_att,0,,,,,
player,201910200was,sfo,KittGe00,pass_yds,0,,,,,
player,201910200was,sfo,KittGe00,pass_td,0,,,,,
player,201910200was,sfo,KittGe00,pass_int,0,,,,,
player,201910200was,sfo,KittGe00,pass_sacked,0,,,,,
player,201910200was,sfo,KittGe00,pass_sacked_yds,0,,,,,
player,201910200was,sfo,KittGe00,pass_long,0,,,,,
player,201910200was,sfo,KittGe00,pass_rating,,,,,,
player,201910200was,sfo,KittGe00,rush_att,2,,,,,
player,201910200was,sfo,KittGe00,rush_yds,0,,,,,
player,201910200was,sfo,KittGe00,rush_td,0,,,,,
player,201910200was,sfo,KittGe00,rush_long,2,,,,,
player,201910200was,sfo,KittGe00,targets,5,,,,,
player,201910200was,sfo,KittGe00,rec,3,,,,,
player,201910200was,sfo,KittGe00,rec_yds,38,,,,,
player,201910200was,sfo,KittGe00,rec_td,0,,,,,
player,201910200was,sfo,KittGe00,rec_long,16,,,,,
