game,2019,8,20191027,201910270htx,rai,"Oakland Raiders",24,htx,"Houston Texans",27
team,201910270htx,rai,First Downs,15,,,,,,
team,201910270htx,htx,First Downs,29,,,,,,
team,201910270htx,rai,Rush-Yds-TDs,23-93-0,,,,,,
team,201910270htx,htx,Rush-Yds-TDs,32-130-0,,,,,,
team,201910270htx,rai,Cmp-Att-Yd-TD-INT,18-30-285-3-0,,,,,,
team,201910270htx,htx,Cmp-Att-Yd-TD-INT,27-39-279-3-0,,,,,,
team,201910270htx,rai,Sacked-Yards,0-0,,,,,,
team,201910270htx,htx,Sacked-Yards,3-21,,,,,,
team,201910270htx,rai,Net Pass Yards,285,,,,,,
team,201910270htx,htx,Net Pass Yards,258,,,,,,
team,201910270htx,rai,Total Yards,378,,,,,,
team,201910270htx,htx,Total Yards,388,,,,,,
team,201910270htx,rai,Fumbles-Lost,0-0,,,,,,
team,201910270htx,htx,Fumbles-Lost,1-0,,,,,,
team,201910270htx,rai,Turnovers,0,,,,,,
team,201910270htx,htx,Turnovers,0,,,,,,
team,201910270htx,rai,Penalties-Yards,11-100,,,,,,
team,201910270htx,htx,Penalties-Yards,7-50,,,,,,
team,201910270htx,rai,Third Down Conv.,5-12,,,,,,
team,201910270htx,htx,Third Down Conv.,6-14,,,,,,
team,201910270htx,rai,Fourth Down Conv.,0-0,,,,,,
team,201910270htx,htx,Fourth Down Conv.,1-1,,,,,,
team,201910270htx,rai,Time of Possession,24:07,,,,,,
team,201910270htx,htx,Time of Possession,35:53,,,,,,
player,201910270htx,rai,CarrDe02,pass_cmp,18,,,,,
player,201910270htx,rai,CarrDe02,pass_att,30,,,,,
player,201910270htx,rai,CarrDe02,pass_yds,285,,,,,
player,201910270htx,rai,CarrDe02,pass_td,3,,,,,
player,201910270htx,rai,CarrDe02,pass_int,0,,,,,
player,201910270htx,rai,CarrDe02,pass_sacked,0,,,,,
player,201910270htx,rai,CarrDe02,pass_sacked_yds,0,,,,,
player,201910270htx,rai,CarrDe02,pass_long,65,,,,,
player,201910270htx,rai,CarrDe02,pass_rating,125.0,,,,,
player,201910270htx,rai,CarrDe02,rush_att,0,,,,,
player,201910270htx,rai,CarrDe02,rush_yds,0,,,,,
player,201910270htx,rai,CarrDe02,rush_td,0,,,,,
player,201910270htx,rai,CarrDe02,rush_long,0,,,,,
player,201910270htx,rai,CarrDe02,targets,0,,,,,
player,201910270htx,rai,CarrDe02,rec,0,,,,,
player,201910270htx,rai,CarrDe02,rec_yds,0,,,,,
player,201910270htx,rai,CarrDe02,rec_td,0,,,,,
player,201910270htx,rai,CarrDe02,rec_long,0,,,,,
player,201910270htx,rai,CarrDe02,fumbles,0,,,,,
player,201910270htx,rai,CarrDe02,fumbles_lost,0,,,,,
player,201910270htx,rai,JacoJo01,pass_cmp,0,,,,,
player,201910270htx,rai,JacoJo01,pass_att,0,,,,,
player,201910270htx,rai,JacoJo01,pass_yds,0,,,,,
player,201910270htx,rai,JacoJo01,pass_td,0,,,,,
player,201910270htx,rai,JacoJo01,pass_int,0,,,,,
player,201910270htx,rai,JacoJo01,pass_sacked,0,,,,,
player,201910270htx,rai,JacoJo01,pass_sacked_yds,0,,,,,
player,201910270htx,rai,JacoJo01,pass_long,0,,,,,
player,201910270htx,rai,JacoJo01,pass_rating,,,,,,
player,201910270htx,rai,JacoJo01,rush_att,15,,,,,
player,201910270htx,rai,JacoJo01,rush_yds,66,,,,,
player,201910270htx,rai,JacoJo01,rush_td,0,,,,,
player,201910270htx,rai,JacoJo01,rush_long,23,,,,,
player,201910270htx,rai,JacoJo01,targets,2,,,,,
player,201910270htx,rai,JacoJo01,rec,2,,,,,
player,201910270htx,rai,JacoJo01,rec_yds,15,,,,,
player,201910270htx,rai,JacoJo01,rec_td,0,,,,,
player,201910270htx,rai,JacoJo01,rec_long,8,,,,,
player,201910270htx,rai,JacoJo01,fumbles,0,,,,,
player,201910270htx,rai,JacoJo01,fumbles_lost,0,,,,,
player,201910270htx,rai,WashDe00,pass_cmp,0,,,,,
player,201910270htx,rai,WashDe00,pass_att,0,,,,,
