game,2019,8,20191027,201910270nwe,cle,"Cleveland Browns",13,nwe,"New England Patriots",27
team,201910270nwe,cle,First Downs,15,,,,,,
team,201910270nwe,nwe,First Downs,19,,,,,,
team,201910270nwe,cle,Rush-Yds-TDs,22-159-0,,,,,,
team,201910270nwe,nwe,Rush-Yds-TDs,27-79-0,,,,,,
team,201910270nwe,cle,Cmp-Att-Yd-TD-INT,20-31-194-1-1,,,,,,
team,201910270nwe,nwe,Cmp-Att-Yd-TD-INT,20-36-259-2-0,,,,,,
team,201910270nwe,cle,Sacked-Yards,5-43,,,,,,
team,201910270nwe,nwe,Sacked-Yards,3-20,,,,,,
team,201910270nwe,cle,Net Pass Yards,151,,,,,,
team,201910270nwe,nwe,Net Pass Yards,239,,,,,,
team,201910270nwe,cle,Total Yards,310,,,,,,
team,201910270nwe,nwe,Total Yards,318,,,,,,
team,201910270nwe,cle,Fumbles-Lost,3-2,,,,,,
team,201910270nwe,nwe,Fumbles-Lost,0-0,,,,,,
team,201910270nwe,cle,Turnovers,3,,,,,,
team,201910270nwe,nwe,Turnovers,0,,,,,,
team,201910270nwe,cle,Penalties-Yards,13-85,,,,,,
team,201910270nwe,nwe,Penalties-Yards,4-32,,,,,,
team,201910270nwe,cle,Third Down Conv.,3-12,,,,,,
team,201910270nwe,nwe,Third Down Conv.,5-16,,,,,,
team,201910270nwe,cle,Fourth Down Conv.,0-1,,,,,,
team,201910270nwe,nwe,Fourth Down Conv.,2-2,,,,,,
team,201910270nwe,cle,Time of Possession,27:45,,,,,,
team,201910270nwe,nwe,Time of Possession,32:15,,,,,,
player,201910270nwe,cle,MayfBa00,pass_cmp,20,,,,,
player,201910270nwe,cle,MayfBa00,pass_att,31,,,,,
player,201910270nwe,cle,MayfBa00,pass_yds,194,,,,,
player,201910270nwe,cle,MayfBa00,pass_td,1,,,,,
player,201910270nwe,cle,MayfBa00,pass_int,1,,,,,
player,201910270nwe,cle,MayfBa00,pass_sacked,5,,,,,
player,201910270nwe,cle,MayfBa00,pass_sacked_yds,43,,,,,
player,201910270nwe,cle,MayfBa00,pass_long,31,,,,,
player,201910270nwe,cle,MayfBa00,pass_rating,79.2,,,,,
player,201910270nwe,cle,MayfBa00,rush_att,1,,,,,
player,201910270nwe,cle,MayfBa00,rush_yds,18,,,,,
player,201910270nwe,cle,MayfBa00,rush_td,0,,,,,
player,201910270nwe,cle,MayfBa00,rush_long,18,,,,,
player,201910270nwe,cle,MayfBa00,targets,0,,,,,
player,201910270nwe,cle,MayfBa00,rec,0,,,,,
player,201910270nwe,cle,MayfBa00,rec_yds,0,,,,,
player,201910270nwe,cle,MayfBa00,rec_td,0,,,,,
player,201910270nwe,cle,MayfBa00,rec_long,0,,,,,
player,201910270nwe,cle,MayfBa00,fumbles,0,,,,,
