game,2019,9,20191103,201911030car,oti,"Tennessee Titans",20,car,"Carolina Panthers",30
team,201911030car,oti,First Downs,24,,,,,,
team,201911030car,car,First Downs,22,,,,,,
team,201911030car,oti,Rush-Yds-TDs,21-121-2,,,,,,
team,201911030car,car,Rush-Yds-TDs,33-156-2,,,,,,
team,201911030car,oti,Cmp-Att-Yd-TD-INT,27-39-331-1-2,,,,,,
team,201911030car,car,Cmp-Att-Yd-TD-INT,17-32-232-2-1,,,,,,
team,201911030car,oti,Sacked-Yards,4-21,,,,,,
team,201911030car,car,Sacked-Yards,3-18,,,,,,
team,201911030car,oti,Net Pass Yards,310,,,,,,
team,201911030car,car,Net Pass Yards,214,,,,,,
team,201911030car,oti,Total Yards,431,,,,,,
team,201911030car,car,Total Yards,370,,,,,,
team,201911030car,oti,Fumbles-Lost,1-1,,,,,,
team,201911030car,car,Fumbles-Lost,0-0,,,,,,
team,201911030car,oti,Turnovers,3,,,,,,
team,201911030car,car,Turnovers,1,,,,,,
team,201911030car,oti,Penalties-Yards,11-99,,,,,,
team,201911030car,car,Penalties-Yards,6-77,,,,,,
team,201911030car,oti,Third Down Conv.,3-10,,,,,,
team,201911030car,car,Third Down Conv.,5-14,,,,,,
team,201911030car,oti,Fourth Down Conv.,1-1,,,,,,
team,201911030car,car,Fourth Down Conv.,2-2,,,,,,
team,201911030car,oti,Time of Possession,26:43,,,,,,
team,201911030car,car,Time of Possession,33:17,,,,,,
player,201911030car,oti,TannRy00,pass_cmp,27,,,,,
player,201911030car,oti,TannRy00,pass_att,39,,,,,
player,201911030car,oti,TannRy00,pass_yds,331,,,,,
player,201911030car,oti,TannRy00,pass_td,1,,,,,
player,201911030car,oti,TannRy00,pass_int,2,,,,,
player,201911030car,oti,TannRy00,pass_sacked,4,,,,,
player,201911030car,oti,TannRy00,pass_sacked_yds,21,,,,,
player,201911030car,oti,TannRy00,pass_long,35,,,,,
player,201911030car,oti,TannRy00,pass_rating,82.3,,,,,
player,201911030car,oti,TannRy00,rush_att,4,,,,,
player,201911030car,oti,TannRy00,rush_yds,38,,,,,
player,201911030car,oti,TannRy00,rush_td,1,,,,,
player,201911030car,oti,TannRy00,rush_long,25,,,,,
player,201911030car,oti,TannRy00,targets,0,,,,,
player,201911030car,oti,TannRy00,rec,0,,,,,
player,201911030car,oti,TannRy00,rec_yds,0,,,,,
player,201911030car,oti,TannRy00,rec_td,0,,,,,
player,201911030car,oti,TannRy00,rec_long,0,,,,,
player,201911030car,oti,TannRy00,fumbles,0,,,,,
player,201911030car,oti,TannRy00,fumbles_lost,0,,,,,
player,201911030car,oti,HenrDe00,pass_cmp,0,,,,,
player,201911030car,oti,HenrDe00,pass_att,0,,,,,
player,201911030car,oti,HenrDe00,pass_yds,0,,,,,
player,201911030car,oti,HenrDe00,pass_td,0,,,,,
player,201911030car,oti,HenrDe00,pass_int,0,,,,,
player,201911030car,oti,HenrDe00,pass_sacked,0,,,,,
player,201911030car,oti,HenrDe00,pass_sacked_yds,0,,,,,
player,201911030car,oti,HenrDe00,pass_long,0,,,,,
player,201911030car,oti,HenrDe00,pass_rating,,,,,,
player,201911030car,oti,HenrDe00,rush_att,13,,,,,
player,201911030car,oti,HenrDe00,rush_yds,63,,,,,
player,201911030car,oti,HenrDe00,rush_td,1,,,,,
player,201911030car,oti,HenrDe00,rush_long,12,,,,,
player,201911030car,oti,HenrDe00,targets,3,,,,,
player,201911030car,oti,HenrDe00,rec,3,,,,,
player,201911030car,oti,HenrDe00,rec_yds,36,,,,,
player,201911030car,oti,HenrDe00,rec_td,1,,,,,
player,201911030car,oti,HenrDe00,rec_long,23,,,,,
player,201911030car,oti,HenrDe00,fumbles,0,,,,,
player,201911030car,oti,HenrDe00,fumbles_lost,0,,,,,
player,201911030car,oti,LewiDi00,pass_cmp,0,,,,,
player,201911030car,oti,LewiDi00,pass_att,0,,,,,
player,201911030car,oti,LewiDi00,pass_yds,0,,,,,
player,201911030car,oti,LewiDi00,pass_td,0,,,,,
player,201911030car,oti,LewiDi00,pass_int,0,,,,,
player,201911030car,oti,LewiDi00,pass_sacked,0,,,,,
player,201911030car,oti,LewiDi00,pass_sacked_yds,0,,,,,
player,201911030car,oti,LewiDi00,pass_long,0,,,,,
player,201911030car,oti,LewiDi00,pass_rating,,,,,,
player,201911030car,oti,LewiDi00,rush_att,4,,,,,
player,201911030car,oti,LewiDi00,rush_yds,20,,,,,
player,201911030car,oti,LewiDi00,rush_td,0,,,,,
player,201911030car,oti,LewiDi00,rush_long,15,,,,,
player,201911030car,oti,LewiDi00,targets,5,,,,,
player,201911030car,oti,LewiDi00,rec,5,,,,,
player,201911030car,oti,LewiDi00,rec_yds,33,,,,,
player,201911030car,oti,LewiDi00,rec_td,0,,,,,
player,201911030car,oti,LewiDi00,rec_long,24,,,,,
player,201911030car,oti,LewiDi00,fumbles,1,,,,,
player,201911030car,oti,LewiDi00,fumbles_lost,1,,,,,
player,201911030car,oti,BrowAJ00,pass_cmp,0,,,,,
player,201911030car,oti,BrowAJ00,pass_att,0,,,,,
player,201911030car,oti,BrowAJ00,pass_yds,0,,,,,
player,201911030car,oti,BrowAJ00,pass_td,0,,,,,
player,201911030car,oti,BrowAJ00,pass_int,0,,,,,
player,201911030car,oti,BrowAJ00,pass_sacked,0,,,,,
player,201911030car,oti,BrowAJ00,pass_sacked_yds,0,,,,,
player,201911030car,oti,BrowAJ00,pass_long,0,,,,,
player,201911030car,oti,BrowAJ00,pass_rating,,,,,,
player,201911030car,oti,BrowAJ00,rush_att,0,,,,,
player,201911030car,oti,BrowAJ00,rush_yds,0,,,,,
player,201911030car,oti,BrowAJ00,rush_td,0,,,,,
player,201911030car,oti,BrowAJ00,rush_long,0,,,,,
player,201911030car,oti,BrowAJ00,targets,7,,,,,
player,201911030car,oti,BrowAJ00,rec,4,,,,,
player,201911030car,oti,BrowAJ00,rec_yds,81,,,,,
player,201911030car,oti,BrowAJ00,rec_td,0,,,,,
player,201911030car,oti,BrowAJ00,rec_long,35,,,,,
player,201911030car,oti,BrowAJ00,fumbles,0,,,,,
player,201911030car,oti,BrowAJ00,fumbles_lost,0,,,,,
player,201911030car,oti,HumpAd00,pass_cmp,0,,,,,
player,201911030car,oti,HumpAd00,pass_att,0,,,,,
player,201911030car,oti,HumpAd00,pass_yds,0,,,,,
player,201911030car,oti,HumpAd00,pass_td,0,,,,,
player,201911030car,oti,HumpAd00,pass_int,0,,,,,
player,201911030car,oti,HumpAd00,pass_sacked,0,,,,,
player,201911030car,oti,HumpAd00,pass_sacked_yds,0,,,,,
player,201911030car,oti,HumpAd00,pass_long,0,,,,,
player,201911030car,oti,HumpAd00,pass_rating,,,,,,
player,201911030car,oti,HumpAd00,rush_att,0,,,,,
player,201911030car,oti,HumpAd00,rush_yds,0,,,,,
player,201911030car,oti,HumpAd00,rush_td,0,,,,,
player,201911030car,oti,HumpAd00,rush_long,0,,,,,
player,201911030car,oti,HumpAd00,targets,4,,,,,
