game,2019,11,20191118,201911180sdg,kan,"Kansas City Chiefs",24,sdg,"Los Angeles Chargers",17
team,201911180sdg,kan,First Downs,18,,,,,,
team,201911180sdg,sdg,First Downs,23,,,,,,
team,201911180sdg,kan,Rush-Yds-TDs,27-130-2,,,,,,
team,201911180sdg,sdg,Rush-Yds-TDs,19-93-0,,,,,,
team,201911180sdg,kan,Cmp-Att-Yd-TD-INT,19-32-182-1-1,,,,,,
team,201911180sdg,sdg,Cmp-Att-Yd-TD-INT,28-52-353-1-4,,,,,,
team,201911180sdg,kan,Sacked-Yards,1-2,,,,,,
team,201911180sdg,sdg,Sacked-Yards,2-8,,,,,,
team,201911180sdg,kan,Net Pass Yards,180,,,,,,
team,201911180sdg,sdg,Net Pass Yards,345,,,,,,
team,201911180sdg,kan,Total Yards,310,,,,,,
team,201911180sdg,sdg,Total Yards,438,,,,,,
team,201911180sdg,kan,Fumbles-Lost,1-0,,,,,,
team,201911180sdg,sdg,Fumbles-Lost,3-0,,,,,,
team,201911180sdg,kan,Turnovers,1,,,,,,
team,201911180sdg,sdg,Turnovers,4,,,,,,
team,201911180sdg,kan,Penalties-Yards,8-102,,,,,,
team,201911180sdg,sdg,Penalties-Yards,9-60,,,,,,
team,201911180sdg,kan,Third Down Conv.,6-13,,,,,,
team,201911180sdg,sdg,Third Down Conv.,5-15,,,,,,
team,201911180sdg,kan,Fourth Down Conv.,0-0,,,,,,
team,201911180sdg,sdg,Fourth Down Conv.,1-1,,,,,,
team,201911180sdg,kan,Time of Possession,28:58,,,,,,
team,201911180sdg,sdg,Time of Possession,31:02,,,,,,
player,201911180sdg,kan,MahoPa00,pass_cmp,19,,,,,
player,201911180sdg,kan,MahoPa00,pass_att,32,,,,,
player,201911180sdg,kan,MahoPa00,pass_yds,182,,,,,
player,201911180sdg,kan,MahoPa00,pass_td,1,,,,,
player,201911180sdg,kan,MahoPa00,pass_int,1,,,,,
player,201911180sdg,kan,MahoPa00,pass_sacked,1,,,,,
player,201911180sdg,kan,MahoPa00,pass_sacked_yds,2,,,,,
player,201911180sdg,kan,MahoPa00,pass_long,31,,,,,
player,201911180sdg,kan,MahoPa00,pass_rating,72.7,,,,,
player,201911180sdg,kan,MahoPa00,rush_att,5,,,,,
player,201911180sdg,kan,MahoPa00,rush_yds,59,,,,,
player,201911180sdg,kan,MahoPa00,rush_td,0,,,,,
player,201911180sdg,kan,MahoPa00,rush_long,24,,,,,
player,201911180sdg,kan,MahoPa00,targets,0,,,,,
player,201911180sdg,kan,MahoPa00,rec,0,,,,,
player,201911180sdg,kan,MahoPa00,rec_yds,0,,,,,
player,201911180sdg,kan,MahoPa00,rec_td,0,,,,,
player,201911180sdg,kan,MahoPa00,rec_long,0,,,,,
player,201911180sdg,kan,MahoPa00,fumbles,0,,,,,
player,201911180sdg,kan,MahoPa00,fumbles_lost,0,,,,,
player,201911180sdg,kan,WillDa10,pass_cmp,0,,,,,
player,201911180sdg,kan,WillDa10,pass_att,0,,,,,
player,201911180sdg,kan,WillDa10,pass_yds,0,,,,,
player,201911180sdg,kan,WillDa10,pass_td,0,,,,,
player,201911180sdg,kan,WillDa10,pass_int,0,,,,,
player,201911180sdg,kan,WillDa10,pass_sacked,0,,,,,
