game,2019,13,20191201,201912010kan,rai,"Oakland Raiders",9,kan,"Kansas City Chiefs",40
team,201912010kan,rai,First Downs,19,,,,,,
team,201912010kan,kan,First Downs,22,,,,,,
team,201912010kan,rai,Rush-Yds-TDs,25-122-0,,,,,,
team,201912010kan,kan,Rush-Yds-TDs,29-96-3,,,,,,
team,201912010kan,rai,Cmp-Att-Yd-TD-INT,20-30-222-1-2,,,,,,
team,201912010kan,kan,Cmp-Att-Yd-TD-INT,15-29-175-1-0,,,,,,
team,201912010kan,rai,Sacked-Yards,2-12,,,,,,
team,201912010kan,kan,Sacked-Yards,1-12,,,,,,
team,201912010kan,rai,Net Pass Yards,210,,,,,,
team,201912010kan,kan,Net Pass Yards,163,,,,,,
team,201912010kan,rai,Total Yards,332,,,,,,
team,201912010kan,kan,Total Yards,259,,,,,,
team,201912010kan,rai,Fumbles-Lost,2-1,,,,,,
team,201912010kan,kan,Fumbles-Lost,0-0,,,,,,
team,201912010kan,rai,Turnovers,3,,,,,,
team,201912010kan,kan,Turnovers,0,,,,,,
team,201912010kan,rai,Penalties-Yards,12-99,,,,,,
team,201912010kan,kan,Penalties-Yards,0-0,,,,,,
team,201912010kan,rai,Third Down Conv.,3-9,,,,,,
team,201912010kan,kan,Third Down Conv.,7-11,,,,,,
team,201912010kan,rai,Fourth Down Conv.,1-2,,,,,,
team,201912010kan,kan,Fourth Down Conv.,0-1,,,,,,
team,201912010kan,rai,Time of Possession,31:41,,,,,,
team,201912010kan,kan,Time of Possession,28:19,,,,,,
player,201912010kan,rai,CarrDe02,pass_cmp,20,,,,,
player,201912010kan,rai,CarrDe02,pass_att,30,,,,,
player,201912010kan,rai,CarrDe02,pass_yds,222,,,,,
player,201912010kan,rai,CarrDe02,pass_td,1,,,,,
player,201912010kan,rai,CarrDe02,pass_int,2,,,,,
player,201912010kan,rai,CarrDe02,pass_sacked,2,,,,,
player,201912010kan,rai,CarrDe02,pass_sacked_yds,12,,,,,
player,201912010kan,rai,CarrDe02,pass_long,28,,,,,
player,201912010kan,rai,CarrDe02,pass_rating,71.8,,,,,
player,201912010kan,rai,CarrDe02,rush_att,3,,,,,
player,201912010kan,rai,CarrDe02,rush_yds,7,,,,,
player,201912010kan,rai,CarrDe02,rush_td,0,,,,,
player,201912010kan,rai,CarrDe02,rush_long,6,,,,,
player,201912010kan,rai,CarrDe02,targets,0,,,,,
player,201912010kan,rai,CarrDe02,rec,0,,,,,
player,201912010kan,rai,CarrDe02,rec_yds,0,,,,,
player,201912010kan,rai,CarrDe02,rec_td,0,,,,,
player,201912010kan,rai,CarrDe02,rec_long,0,,,,,
player,201912010kan,rai,CarrDe02,fumbles,1,,,,,
player,201912010kan,rai,CarrDe02,fumbles_lost,0,,,,,
player,201912010kan,rai,JacoJo01,pass_cmp,0,,,,,
player,201912010kan,rai,JacoJo01,pass_att,0,,,,,
player,201912010kan,rai,JacoJo01,pass_yds,0,,,,,
player,201912010kan,rai,JacoJo01,pass_td,0,,,,,
player,201912010kan,rai,JacoJo01,pass_int,0,,,,,
player,201912010kan,rai,JacoJo01,pass_sacked,0,,,,,
player,201912010kan,rai,JacoJo01,pass_sacked_yds,0,,,,,
player,201912010kan,rai,JacoJo01,pass_long,0,,,,,
player,201912010kan,rai,JacoJo01,pass_rating,,,,,,
player,201912010kan,rai,JacoJo01,rush_att,17,,,,,
