game,2019,13,20191201,201912010mia,phi,"Philadelphia Eagles",31,mia,"Miami Dolphins",37
team,201912010mia,phi,First Downs,23,,,,,,
team,201912010mia,mia,First Downs,26,,,,,,
team,201912010mia,phi,Rush-Yds-TDs,19-92-0,,,,,,
team,201912010mia,mia,Rush-Yds-TDs,20-58-1,,,,,,
team,201912010mia,phi,Cmp-Att-Yd-TD-INT,28-46-310-3-1,,,,,,
team,201912010mia,mia,Cmp-Att-Yd-TD-INT,28-40-366-4-1,,,,,,
team,201912010mia,phi,Sacked-Yards,2-16,,,,,,
team,201912010mia,mia,Sacked-Yards,3-15,,,,,,
team,201912010mia,phi,Net Pass Yards,294,,,,,,
team,201912010mia,mia,Net Pass Yards,351,,,,,,
team,201912010mia,phi,Total Yards,386,,,,,,
team,201912010mia,mia,Total Yards,409,,,,,,
team,201912010mia,phi,Fumbles-Lost,1-0,,,,,,
team,201912010mia,mia,Fumbles-Lost,0-0,,,,,,
team,201912010mia,phi,Turnovers,1,,,,,,
team,201912010mia,mia,Turnovers,1,,,,,,
team,201912010mia,phi,Penalties-Yards,10-91,,,,,,
team,201912010mia,mia,Penalties-Yards,7-59,,,,,,
team,201912010mia,phi,Third Down Conv.,7-14,,,,,,
team,201912010mia,mia,Third Down Conv.,5-12,,,,,,
team,201912010mia,phi,Fourth Down Conv.,0-0,,,,,,
team,201912010mia,mia,Fourth Down Conv.,3-3,,,,,,
team,201912010mia,phi,Time of Possession,28:42,,,,,,
team,201912010mia,mia,Time of Possession,31:18,,,,,,
player,201912010mia,phi,WentCa00,pass_cmp,28,,,,,
player,201912010mia,phi,WentCa00,pass_att,46,,,,,
player,201912010mia,phi,WentCa00,pass_yds,310,,,,,
player,201912010mia,phi,WentCa00,pass_td,3,,,,,
player,201912010mia,phi,WentCa00,pass_int,1,,,,,
player,201912010mia,phi,WentCa00,pass_sacked,2,,,,,
player,201912010mia,phi,WentCa00,pass_sacked_yds,16,,,,,
player,201912010mia,phi,WentCa00,pass_long,27,,,,,
player,201912010mia,phi,WentCa00,pass_rating,93.6,,,,,
player,201912010mia,phi,WentCa00,rush_att,0,,,,,
player,201912010mia,phi,WentCa00,rush_yds,0,,,,,
player,201912010mia,phi,WentCa00,rush_td,0,,,,,
player,201912010mia,phi,WentCa00,rush_long,0,,,,,
player,201912010mia,phi,WentCa00,targets,0,,,,,
player,201912010mia,phi,WentCa00,rec,0,,,,,
player,201912010mia,phi,WentCa00,rec_yds,0,,,,,
player,201912010mia,phi,WentCa00,rec_td,0,,,,,
player,201912010mia,phi,WentCa00,rec_long,0,,,,,
player,201912010mia,phi,WentCa00,fumbles,1,,,,,
player,201912010mia,phi,WentCa00,fumbles_lost,0,,,,,
player,201912010mia,phi,SandMi01,pass_cmp,0,,,,,
player,201912010mia,phi,SandMi01,pass_att,0,,,,,
player,201912010mia,phi,SandMi01,pass_yds,0,,,,,
player,201912010mia,phi,SandMi01,pass_td,0,,,,,
player,201912010mia,phi,SandMi01,pass_int,0,,,,,
player,201912010mia,phi,SandMi01,pass_sacked,0,,,,,
player,201912010mia,phi,SandMi01,pass_sacked_yds,0,,,,,
player,201912010mia,phi,SandMi01,pass_long,0,,,,,
player,201912010mia,phi,SandMi01,pass_rating,,,,,,
player,201912010mia,phi,SandMi01,rush_att,17,,,,,
player,201912010mia,phi,SandMi01,rush_yds,83,,,,,
player,201912010mia,phi,SandMi01,rush_td,0,,,,,
player,201912010mia,phi,SandMi01,rush_long,13,,,,,
player,201912010mia,phi,SandMi01,targets,5,,,,,
player,201912010mia,phi,SandMi01,rec,5,,,,,
player,201912010mia,phi,SandMi01,rec_yds,22,,,,,
player,201912010mia,phi,SandMi01,rec_td,1,,,,,
player,201912010mia,phi,SandMi01,rec_long,15,,,,,
player,201912010mia,phi,SandMi01,fumbles,0,,,,,
player,201912010mia,phi,SandMi01,fumbles_lost,0,,,,,
player,201912010mia,phi,AjayJa00,pass_cmp,0,,,,,
player,201912010mia,phi,AjayJa00,pass_att,0,,,,,
player,201912010mia,phi,AjayJa00,pass_yds,0,,,,,
player,201912010mia,phi,AjayJa00,pass_td,0,,,,,
player,201912010mia,phi,AjayJa00,pass_int,0,,,,,
player,201912010mia,phi,AjayJa00,pass_sacked,0,,,,,
player,201912010mia,phi,AjayJa00,pass_sacked_yds,0,,,,,
player,201912010mia,phi,AjayJa00,pass_long,0,,,,,
player,201912010mia,phi,AjayJa00,pass_rating,,,,,,
player,201912010mia,phi,AjayJa00,rush_att,2,,,,,
player,201912010mia,phi,AjayJa00,rush_yds,9,,,,,
player,201912010mia,phi,AjayJa00,rush_td,0,,,,,
player,201912010mia,phi,AjayJa00,rush_long,8,,,,,
player,201912010mia,phi,AjayJa00,targets,0,,,,,
player,201912010mia,phi,AjayJa00,rec,0,,,,,
player,201912010mia,phi,AjayJa00,rec_yds,0,,,,,
player,201912010mia,phi,AjayJa00,rec_td,0,,,,,
player,201912010mia,phi,AjayJa00,rec_long,0,,,,,
player,201912010mia,phi,AjayJa00,fumbles,0,,,,,
player,201912010mia,phi,AjayJa00,fumbles_lost,0,,,,,
player,201912010mia,phi,JeffAl00,pass_cmp,0,,,,,
player,201912010mia,phi,JeffAl00,pass_att,0,,,,,
player,201912010mia,phi,JeffAl00,pass_yds,0,,,,,
player,201912010mia,phi,JeffAl00,pass_td,0,,,,,
player,201912010mia,phi,JeffAl00,pass_int,0,,,,,
player,201912010mia,phi,JeffAl00,pass_sacked,0,,,,,
player,201912010mia,phi,JeffAl00,pass_sacked_yds,0,,,,,
player,201912010mia,phi,JeffAl00,pass_long,0,,,,,
player,201912010mia,phi,JeffAl00,pass_rating,,,,,,
