game,2019,14,20191208,201912080gnb,was,"Washington Redskins",15,gnb,"Green Bay Packers",20
team,201912080gnb,was,First Downs,18,,,,,,
team,201912080gnb,gnb,First Downs,18,,,,,,
team,201912080gnb,was,Rush-Yds-TDs,28-121-1,,,,,,
team,201912080gnb,gnb,Rush-Yds-TDs,28-174-1,,,,,,
team,201912080gnb,was,Cmp-Att-Yd-TD-INT,16-27-170-1-1,,,,,,
team,201912080gnb,gnb,Cmp-Att-Yd-TD-INT,18-28-195-1-0,,,,,,
team,201912080gnb,was,Sacked-Yards,4-29,,,,,,
team,201912080gnb,gnb,Sacked-Yards,4-28,,,,,,
team,201912080gnb,was,Net Pass Yards,141,,,,,,
team,201912080gnb,gnb,Net Pass Yards,167,,,,,,
team,201912080gnb,was,Total Yards,262,,,,,,
team,201912080gnb,gnb,Total Yards,341,,,,,,
team,201912080gnb,was,Fumbles-Lost,2-0,,,,,,
team,201912080gnb,gnb,Fumbles-Lost,1-1,,,,,,
team,201912080gnb,was,Turnovers,1,,,,,,
team,201912080gnb,gnb,Turnovers,1,,,,,,
team,201912080gnb,was,Penalties-Yards,3-25,,,,,,
team,201912080gnb,gnb,Penalties-Yards,5-34,,,,,,
team,201912080gnb,was,Third Down Conv.,4-11,,,,,,
team,201912080gnb,gnb,Third Down Conv.,5-13,,,,,,
team,201912080gnb,was,Fourth Down Conv.,0-0,,,,,,
team,201912080gnb,gnb,Fourth Down Conv.,2-2,,,,,,
team,201912080gnb,was,Time of Possession,29:36,,,,,,
team,201912080gnb,gnb,Time of Possession,30:24,,,,,,
player,201912080gnb,was,HaskDw00,pass_cmp,16,,,,,
player,201912080gnb,was,HaskDw00,pass_att,27,,,,,
player,201912080gnb,was,HaskDw00,pass_yds,170,,,,,
player,201912080gnb,was,HaskDw00,pass_td,1,,,,,
player,201912080gnb,was,HaskDw00,pass_int,1,,,,,
player,201912080gnb,was,HaskDw00,pass_sacked,4,,,,,
player,201912080gnb,was,HaskDw00,pass_sacked_yds,29,,,,,
player,201912080gnb,was,HaskDw00,pass_long,30,,,,,
player,201912080gnb,was,HaskDw00,pass_rating,74.6,,,,,
player,201912080gnb,was,HaskDw00,rush_att,1,,,,,
player,201912080gnb,was,HaskDw00,rush_yds,-1,,,,,
player,201912080gnb,was,HaskDw00,rush_td,0,,,,,
player,201912080gnb,was,HaskDw00,rush_long,-1,,,,,
player,201912080gnb,was,HaskDw00,targets,0,,,,,
player,201912080gnb,was,HaskDw00,rec,0,,,,,
player,201912080gnb,was,HaskDw00,rec_yds,0,,,,,
player,201912080gnb,was,HaskDw00,rec_td,0,,,,,
player,201912080gnb,was,HaskDw00,rec_long,0,,,,,
player,201912080gnb,was,HaskDw00,fumbles,0,,,,,
player,201912080gnb,was,HaskDw00,fumbles_lost,0,,,,,
player,201912080gnb,was,PeteAd01,pass_cmp,0,,,,,
player,201912080gnb,was,PeteAd01,pass_att,0,,,,,
player,201912080gnb,was,PeteAd01,pass_yds,0,,,,,
player,201912080gnb,was,PeteAd01,pass_td,0,,,,,
player,201912080gnb,was,PeteAd01,pass_int,0,,,,,
player,201912080gnb,was,PeteAd01,pass_sacked,0,,,,,
player,201912080gnb,was,PeteAd01,pass_sacked_yds,0,,,,,
player,201912080gnb,was,PeteAd01,pass_long,0,,,,,
player,201912080gnb,was,PeteAd01,pass_rating,,,,,,
player,201912080gnb,was,PeteAd01,rush_att,20,,,,,
player,201912080gnb,was,PeteAd01,rush_yds,76,,,,,
player,201912080gnb,was,PeteAd01,rush_td,1,,,,,
player,201912080gnb,was,PeteAd01,rush_long,13,,,,,
player,201912080gnb,was,PeteAd01,targets,0,,,,,
player,201912080gnb,was,PeteAd01,rec,0,,,,,
player,201912080gnb,was,PeteAd01,rec_yds,0,,,,,
player,201912080gnb,was,PeteAd01,rec_td,0,,,,,
player,201912080gnb,was,PeteAd01,rec_long,0,,,,,
player,201912080gnb,was,PeteAd01,fumbles,1,,,,,
player,201912080gnb,was,PeteAd01,fumbles_lost,0,,,,,
player,201912080gnb,was,GuicDe00,pass_cmp,0,,,,,
player,201912080gnb,was,GuicDe00,pass_att,0,,,,,
