game,2019,16,20191222,201912220chi,kan,"Kansas City Chiefs",26,chi,"Chicago Bears",3
team,201912220chi,kan,First Downs,25,,,,,,
team,201912220chi,chi,First Downs,18,,,,,,
team,201912220chi,kan,Rush-Yds-TDs,29-106-1,,,,,,
team,201912220chi,chi,Rush-Yds-TDs,22-101-0,,,,,,
team,201912220chi,kan,Cmp-Att-Yd-TD-INT,23-33-251-2-0,,,,,,
team,201912220chi,chi,Cmp-Att-Yd-TD-INT,18-34-157-0-0,,,,,,
team,201912220chi,kan,Sacked-Yards,1-7,,,,,,
team,201912220chi,chi,Sacked-Yards,3-24,,,,,,
team,201912220chi,kan,Net Pass Yards,244,,,,,,
team,201912220chi,chi,Net Pass Yards,133,,,,,,
team,201912220chi,kan,Total Yards,350,,,,,,
team,201912220chi,chi,Total Yards,234,,,,,,
team,201912220chi,kan,Fumbles-Lost,0-0,,,,,,
team,201912220chi,chi,Fumbles-Lost,1-0,,,,,,
team,201912220chi,kan,Turnovers,0,,,,,,
team,201912220chi,chi,Turnovers,0,,,,,,
team,201912220chi,kan,Penalties-Yards,9-71,,,,,,
team,201912220chi,chi,Penalties-Yards,7-50,,,,,,
team,201912220chi,kan,Third Down Conv.,6-11,,,,,,
team,201912220chi,chi,Third Down Conv.,5-12,,,,,,
team,201912220chi,kan,Fourth Down Conv.,0-0,,,,,,
team,201912220chi,chi,Fourth Down Conv.,0-3,,,,,,
team,201912220chi,kan,Time of Possession,33:24,,,,,,
team,201912220chi,chi,Time of Possession,26:36,,,,,,
player,201912220chi,kan,MahoPa00,pass_cmp,23,,,,,
player,201912220chi,kan,MahoPa00,pass_att,33,,,,,
player,201912220chi,kan,MahoPa00,pass_yds,251,,,,,
player,201912220chi,kan,MahoPa00,pass_td,2,,,,,
player,201912220chi,kan,MahoPa00,pass_int,0,,,,,
player,201912220chi,kan,MahoPa00,pass_sacked,1,,,,,
player,201912220chi,kan,MahoPa00,pass_sacked_yds,7,,,,,
player,201912220chi,kan,MahoPa00,pass_long,19,,,,,
player,201912220chi,kan,MahoPa00,pass_rating,112.1,,,,,
player,201912220chi,kan,MahoPa00,rush_att,2,,,,,
player,201912220chi,kan,MahoPa00,rush_yds,14,,,,,
player,201912220chi,kan,MahoPa00,rush_td,1,,,,,
player,201912220chi,kan,MahoPa00,rush_long,12,,,,,
player,201912220chi,kan,MahoPa00,targets,0,,,,,
player,201912220chi,kan,MahoPa00,rec,0,,,,,
player,201912220chi,kan,MahoPa00,rec_yds,0,,,,,
player,201912220chi,kan,MahoPa00,rec_td,0,,,,,
player,201912220chi,kan,MahoPa00,rec_long,0,,,,,
player,201912220chi,kan,MahoPa00,fumbles,0,,,,,
player,201912220chi,kan,MahoPa00,fumbles_lost,0,,,,,
player,201912220chi,kan,WillDa05,pass_cmp,0,,,,,
